Text,Entities
The V/Q Scan revealed a Prostate Cancer (Stage 3) in the left breast.,"{'entities': [(24, 49, 'DIAGNOSIS'), (4, 12, 'TEST_NAME'), (57, 68, 'BODY_PART')]}"
Fecal Occult Blood Test (FOBT) measurements indicate Pneumonia.,"{'entities': [(53, 62, 'DIAGNOSIS'), (0, 30, 'TEST_NAME')]}"
He has been prescribed oxybutynin 495 mL.,"{'entities': [(23, 33, 'MEDICATION'), (34, 40, 'DOSAGE')]}"
The Mucus in Urine shows normal pancreas function.,"{'entities': [(4, 18, 'TEST_NAME'), (32, 40, 'BODY_PART')]}"
He has been prescribed isoniazid 745 mg.,"{'entities': [(23, 32, 'MEDICATION'), (33, 39, 'DOSAGE')]}"
Prescribe 840 mg of mycophenolate for pain relief.,"{'entities': [(20, 33, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Prescribe 910 mL of pradaxa for pain relief.,"{'entities': [(20, 27, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Examine the Hepatocyte Paraffin 1 Antigen Detected in the patient's spleen.,"{'entities': [(12, 50, 'SYMPTOM'), (68, 74, 'BODY_PART')]}"
She mentioned an allergy to hydroxyurea.,"{'entities': [(28, 39, 'MEDICATION')]}"
"The Natriuretic Peptide Tests (BNP, NT-proBNP) shows normal left thumb function.","{'entities': [(4, 46, 'TEST_NAME'), (60, 70, 'BODY_PART')]}"
Amylase Test measurements indicate Q - Fever.,"{'entities': [(35, 44, 'DIAGNOSIS'), (0, 12, 'TEST_NAME')]}"
She mentioned an allergy to ketotifen.,"{'entities': [(28, 37, 'MEDICATION')]}"
Patient presents with Hairy Looking Cell.,"{'entities': [(22, 40, 'SYMPTOM')]}"
Protein in Urine measurements indicate Blunt Pancreas Laceration.,"{'entities': [(39, 64, 'DIAGNOSIS'), (0, 16, 'TEST_NAME')]}"
The patient was diagnosed with CLL (Stable) last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
Prescribe 685 mL of sodium bicarbonate for pain relief.,"{'entities': [(20, 38, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
She mentioned an allergy to testosterone.,"{'entities': [(28, 40, 'MEDICATION')]}"
Patient presents with Eschar.,"{'entities': [(22, 28, 'SYMPTOM')]}"
The Down Syndrome Tests shows normal right lung function.,"{'entities': [(4, 23, 'TEST_NAME'), (37, 47, 'BODY_PART')]}"
Prescribe 315 g of trospium for pain relief.,"{'entities': [(19, 27, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
She mentioned an allergy to ketotifen.,"{'entities': [(28, 37, 'MEDICATION')]}"
He has been prescribed aspirin 910 g.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
The Hemoglobin Test shows normal right nipple function.,"{'entities': [(4, 19, 'TEST_NAME'), (33, 45, 'BODY_PART')]}"
She mentioned an allergy to carvedilol.,"{'entities': [(28, 38, 'MEDICATION')]}"
The Pap Smear revealed a Submucous Fibroma in the left temple.,"{'entities': [(25, 42, 'DIAGNOSIS'), (4, 13, 'TEST_NAME'), (50, 61, 'BODY_PART')]}"
TP53 Genetic Test measurements indicate Ankle Fracture.,"{'entities': [(40, 54, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
Examine the Patient Request (Spider Veins) in the patient's right shin.,"{'entities': [(12, 42, 'SYMPTOM'), (60, 70, 'BODY_PART')]}"
The patient was diagnosed with Lyme Disease last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
Patient presents with Rickettsia Akari Detected.,"{'entities': [(22, 47, 'SYMPTOM')]}"
She mentioned an allergy to insulin.,"{'entities': [(28, 35, 'MEDICATION')]}"
The patient was diagnosed with Urethritis last year.,"{'entities': [(31, 41, 'DIAGNOSIS')]}"
She mentioned an allergy to griseofulvin.,"{'entities': [(28, 40, 'MEDICATION')]}"
Prescribe 490 g of Orapred for pain relief.,"{'entities': [(19, 26, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Mental Health Screening revealed a Inclusion-Body Myositis in the right hip.,"{'entities': [(39, 62, 'DIAGNOSIS'), (4, 27, 'TEST_NAME'), (70, 79, 'BODY_PART')]}"
The Chickenpox and Shingles Tests shows normal right hip function.,"{'entities': [(4, 33, 'TEST_NAME'), (47, 56, 'BODY_PART')]}"
The Rapid Tests shows normal left thumb function.,"{'entities': [(4, 15, 'TEST_NAME'), (29, 39, 'BODY_PART')]}"
Examine the Stridor in the patient's right nostril.,"{'entities': [(12, 19, 'SYMPTOM'), (37, 50, 'BODY_PART')]}"
She mentioned an allergy to Rocephin.,"{'entities': [(28, 36, 'MEDICATION')]}"
Examine the Blunt Pulmonary Contusion in the patient's left leg.,"{'entities': [(12, 37, 'SYMPTOM'), (55, 63, 'BODY_PART')]}"
The Vision Screening shows normal left breast function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 45, 'BODY_PART')]}"
Porphyrin Tests measurements indicate Bacterial Gastroenteritis.,"{'entities': [(38, 63, 'DIAGNOSIS'), (0, 15, 'TEST_NAME')]}"
The Basic Metabolic Panel (BMP) shows normal intestines function.,"{'entities': [(4, 31, 'TEST_NAME'), (45, 55, 'BODY_PART')]}"
She mentioned an allergy to Efudex.,"{'entities': [(28, 34, 'MEDICATION')]}"
Vision Screening measurements indicate Cat-Scratch Disease.,"{'entities': [(39, 58, 'DIAGNOSIS'), (0, 16, 'TEST_NAME')]}"
Prescribe 430 mg of tamsulosin for pain relief.,"{'entities': [(20, 30, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
The Videonystagmography (VNG) revealed a Hashimoto's Thyroiditis in the left foot.,"{'entities': [(41, 64, 'DIAGNOSIS'), (4, 29, 'TEST_NAME'), (72, 81, 'BODY_PART')]}"
The patient was diagnosed with Knee Bursitis last year.,"{'entities': [(31, 44, 'DIAGNOSIS')]}"
He has been prescribed norethindrone 210 mL.,"{'entities': [(23, 36, 'MEDICATION'), (37, 43, 'DOSAGE')]}"
The Antibiotic Sensitivity Test revealed a T-Cell Prolymphocytic Leukaemia in the right eye.,"{'entities': [(43, 74, 'DIAGNOSIS'), (4, 31, 'TEST_NAME'), (82, 91, 'BODY_PART')]}"
Prescribe 345 mL of tinidazole for pain relief.,"{'entities': [(20, 30, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
The patient was diagnosed with Contact Dermatitis last year.,"{'entities': [(31, 49, 'DIAGNOSIS')]}"
He has been prescribed Xifaxan 225 L.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
He has been prescribed calcium carbonate 105 L.,"{'entities': [(23, 40, 'MEDICATION'), (41, 46, 'DOSAGE')]}"
She mentioned an allergy to cefdinir.,"{'entities': [(28, 36, 'MEDICATION')]}"
He has been prescribed fluconazole 990 L.,"{'entities': [(23, 34, 'MEDICATION'), (35, 40, 'DOSAGE')]}"
The Ketones in Urine shows normal right chin function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 44, 'BODY_PART')]}"
Examine the Lower Abdomen Cavitation in the patient's left kidney.,"{'entities': [(12, 36, 'SYMPTOM'), (54, 65, 'BODY_PART')]}"
He has been prescribed Xarelto 275 g.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
Patient presents with Excessive Flatulence.,"{'entities': [(22, 42, 'SYMPTOM')]}"
The Differential Diagnosis shows normal right upper arm function.,"{'entities': [(4, 26, 'TEST_NAME'), (40, 55, 'BODY_PART')]}"
Prescribe 75 L of Opana for pain relief.,"{'entities': [(18, 23, 'MEDICATION'), (10, 14, 'DOSAGE')]}"
Patient presents with Swollen Lymph Nodes.,"{'entities': [(22, 41, 'SYMPTOM')]}"
Patient presents with Radius Fracture.,"{'entities': [(22, 37, 'SYMPTOM')]}"
Globulin Test measurements indicate Clear Cell Renal Cell Carcinoma: Stage IV.,"{'entities': [(36, 77, 'DIAGNOSIS'), (0, 13, 'TEST_NAME')]}"
Red Blood Cell (RBC) Count measurements indicate Prostate Cancer (Stage 3).,"{'entities': [(49, 74, 'DIAGNOSIS'), (0, 26, 'TEST_NAME')]}"
Examine the Sterilization Wish in the patient's right groin.,"{'entities': [(12, 30, 'SYMPTOM'), (48, 59, 'BODY_PART')]}"
She mentioned an allergy to insulin.,"{'entities': [(28, 35, 'MEDICATION')]}"
Prescribe 995 mg of diazepam for pain relief.,"{'entities': [(20, 28, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
The Rapid Tests revealed a Rift Valley Fever in the liver.,"{'entities': [(27, 44, 'DIAGNOSIS'), (4, 15, 'TEST_NAME'), (52, 57, 'BODY_PART')]}"
Examine the Snoring in the patient's right cheek.,"{'entities': [(12, 19, 'SYMPTOM'), (37, 48, 'BODY_PART')]}"
Examine the Lymphangitis in the patient's left kidney.,"{'entities': [(12, 24, 'SYMPTOM'), (42, 53, 'BODY_PART')]}"
Prescribe 620 L of Tylenol for pain relief.,"{'entities': [(19, 26, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Prescribe 275 g of clotrimazole for pain relief.,"{'entities': [(19, 31, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
She mentioned an allergy to sennosides.,"{'entities': [(28, 38, 'MEDICATION')]}"
The Blood in Urine shows normal right cheek function.,"{'entities': [(4, 18, 'TEST_NAME'), (32, 43, 'BODY_PART')]}"
Patient presents with Streptococcus Pneumoniae.,"{'entities': [(22, 46, 'SYMPTOM')]}"
Protein in Urine measurements indicate Ehrlichiosis.,"{'entities': [(39, 51, 'DIAGNOSIS'), (0, 16, 'TEST_NAME')]}"
G6PD Test measurements indicate Legionnaires Disease.,"{'entities': [(32, 52, 'DIAGNOSIS'), (0, 9, 'TEST_NAME')]}"
Patient presents with Lung Adenocarcinoma (Stage A) Detected.,"{'entities': [(22, 60, 'SYMPTOM')]}"
Prescribe 600 mg every 9 hours of desloratadine for pain relief.,"{'entities': [(34, 47, 'MEDICATION'), (10, 30, 'DOSAGE')]}"
He has been prescribed pyridoxine 170 mL.,"{'entities': [(23, 33, 'MEDICATION'), (34, 40, 'DOSAGE')]}"
The Erythrocyte Sedimentation Rate (ESR) revealed a Pericarditis in the right chin.,"{'entities': [(52, 64, 'DIAGNOSIS'), (4, 40, 'TEST_NAME'), (72, 82, 'BODY_PART')]}"
Patient presents with Bellybutton Pain.,"{'entities': [(22, 38, 'SYMPTOM')]}"
Patient presents with Hypoxemia.,"{'entities': [(22, 31, 'SYMPTOM')]}"
Catecholamine Tests measurements indicate Blepharospam [R](Mild).,"{'entities': [(42, 64, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
She mentioned an allergy to bisoprolol Fumarate.,"{'entities': [(28, 47, 'MEDICATION')]}"
Patient presents with Tumor Marker Bèta-HCG.,"{'entities': [(22, 43, 'SYMPTOM')]}"
The Carbon Dioxide (CO2) in Blood shows normal left abdomen function.,"{'entities': [(4, 33, 'TEST_NAME'), (47, 59, 'BODY_PART')]}"
Examine the Large Intestine Perforated in the patient's right chin.,"{'entities': [(12, 38, 'SYMPTOM'), (56, 66, 'BODY_PART')]}"
She mentioned an allergy to oxandrolone.,"{'entities': [(28, 39, 'MEDICATION')]}"
SHBG Blood Test measurements indicate Hepatitis A.,"{'entities': [(38, 49, 'DIAGNOSIS'), (0, 15, 'TEST_NAME')]}"
She mentioned an allergy to Motrin.,"{'entities': [(28, 34, 'MEDICATION')]}"
The Haptoglobin (HP) Test revealed a CIPD in the right finger.,"{'entities': [(37, 41, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (49, 61, 'BODY_PART')]}"
Celiac Disease Screening measurements indicate SC Lung Cancer (Extensive Stage).,"{'entities': [(47, 79, 'DIAGNOSIS'), (0, 24, 'TEST_NAME')]}"
She mentioned an allergy to losartan.,"{'entities': [(28, 36, 'MEDICATION')]}"
She mentioned an allergy to Omnicef.,"{'entities': [(28, 35, 'MEDICATION')]}"
Estrogen Levels Test measurements indicate Shingles.,"{'entities': [(43, 51, 'DIAGNOSIS'), (0, 20, 'TEST_NAME')]}"
The Anti-MÃ¼llerian Hormone Test shows normal right tricep function.,"{'entities': [(4, 32, 'TEST_NAME'), (46, 58, 'BODY_PART')]}"
She mentioned an allergy to spironolactone.,"{'entities': [(28, 42, 'MEDICATION')]}"
Prescribe 305 mL every 11 hours of Plan B One-Step for pain relief.,"{'entities': [(35, 50, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
Patient presents with Renal Cell Cancer Larger Than 7 Centimeters Is Detected On A CT-Scan..,"{'entities': [(22, 91, 'SYMPTOM')]}"
The Nitrites in Urine shows normal left neck function.,"{'entities': [(4, 21, 'TEST_NAME'), (35, 44, 'BODY_PART')]}"
Hysteroscopy measurements indicate Rattlesnake Bite.,"{'entities': [(35, 51, 'DIAGNOSIS'), (0, 12, 'TEST_NAME')]}"
The patient was diagnosed with Bronchitis last year.,"{'entities': [(31, 41, 'DIAGNOSIS')]}"
She mentioned an allergy to Voltaren.,"{'entities': [(28, 36, 'MEDICATION')]}"
The Electromyography (EMG) and Nerve Conduction Studies shows normal left sole function.,"{'entities': [(4, 55, 'TEST_NAME'), (69, 78, 'BODY_PART')]}"
Examine the Patient Request (Breast Augmentation) in the patient's right chest.,"{'entities': [(12, 49, 'SYMPTOM'), (67, 78, 'BODY_PART')]}"
He has been prescribed Keflex 645 mL.,"{'entities': [(23, 29, 'MEDICATION'), (30, 36, 'DOSAGE')]}"
Examine the Shoulder Injury in the patient's right leg.,"{'entities': [(12, 27, 'SYMPTOM'), (45, 54, 'BODY_PART')]}"
The Acetaminophen Level shows normal left thigh function.,"{'entities': [(4, 23, 'TEST_NAME'), (37, 47, 'BODY_PART')]}"
Rash Evaluation measurements indicate Shoulder Sprain.,"{'entities': [(38, 53, 'DIAGNOSIS'), (0, 15, 'TEST_NAME')]}"
The patient was diagnosed with Pancreas Contusion last year.,"{'entities': [(31, 49, 'DIAGNOSIS')]}"
Galactosemia Tests measurements indicate Benign Prostatic Hyperplasia.,"{'entities': [(41, 69, 'DIAGNOSIS'), (0, 18, 'TEST_NAME')]}"
The Cerebrospinal Fluid (CSF) Analysis shows normal left nipple function.,"{'entities': [(4, 38, 'TEST_NAME'), (52, 63, 'BODY_PART')]}"
Calcitonin Test measurements indicate Viral Tonsillitis.,"{'entities': [(38, 55, 'DIAGNOSIS'), (0, 15, 'TEST_NAME')]}"
Prescribe 775 mg every 42 hours of atenolol for pain relief.,"{'entities': [(35, 43, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
She mentioned an allergy to gabapentin.,"{'entities': [(28, 38, 'MEDICATION')]}"
The patient was diagnosed with HUS last year.,"{'entities': [(31, 34, 'DIAGNOSIS')]}"
He has been prescribed oxycodone 430 mg.,"{'entities': [(23, 32, 'MEDICATION'), (33, 39, 'DOSAGE')]}"
He has been prescribed butalbital 690 mL every 37 hours.,"{'entities': [(23, 33, 'MEDICATION'), (34, 55, 'DOSAGE')]}"
The Phenylketonuria (PKU) Screening shows normal stomach function.,"{'entities': [(4, 35, 'TEST_NAME'), (49, 56, 'BODY_PART')]}"
Intravenous Pyelogram (IVP) measurements indicate CO Poisoning.,"{'entities': [(50, 62, 'DIAGNOSIS'), (0, 27, 'TEST_NAME')]}"
She mentioned an allergy to loratadine.,"{'entities': [(28, 38, 'MEDICATION')]}"
The Pharmacogenetic Tests shows normal left kidney function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 50, 'BODY_PART')]}"
CA 19-9 Blood Test (Pancreatic Cancer) measurements indicate Endometritis.,"{'entities': [(61, 73, 'DIAGNOSIS'), (0, 38, 'TEST_NAME')]}"
Patient presents with Copperhead Snake Bite.,"{'entities': [(22, 43, 'SYMPTOM')]}"
Examine the Abdominal Pain in the patient's right chin.,"{'entities': [(12, 26, 'SYMPTOM'), (44, 54, 'BODY_PART')]}"
Sputum Culture measurements indicate Trauma of the Larynx.,"{'entities': [(37, 57, 'DIAGNOSIS'), (0, 14, 'TEST_NAME')]}"
She mentioned an allergy to Kelnor.,"{'entities': [(28, 34, 'MEDICATION')]}"
The Developmental and Behavioral Screening Tests revealed a Chronic Sialadenitis in the spleen.,"{'entities': [(60, 80, 'DIAGNOSIS'), (4, 48, 'TEST_NAME'), (88, 94, 'BODY_PART')]}"
The Cold Stimulation Test revealed a Bacterial Vaginosis in the right chin.,"{'entities': [(37, 56, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (64, 74, 'BODY_PART')]}"
The Nonstress Test revealed a Diffuse Large B-Cell (NOS) Lymphoma in the left sole.,"{'entities': [(30, 65, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (73, 82, 'BODY_PART')]}"
Examine the High-Grade Serous Carcinoma (HGSC) Detected in the patient's left ankle.,"{'entities': [(12, 55, 'SYMPTOM'), (73, 83, 'BODY_PART')]}"
She mentioned an allergy to Gel-One.,"{'entities': [(28, 35, 'MEDICATION')]}"
She mentioned an allergy to Efudex.,"{'entities': [(28, 34, 'MEDICATION')]}"
The STD Tests revealed a Severed Ear in the right ear.,"{'entities': [(25, 36, 'DIAGNOSIS'), (4, 13, 'TEST_NAME'), (44, 53, 'BODY_PART')]}"
She mentioned an allergy to niacin.,"{'entities': [(28, 34, 'MEDICATION')]}"
Patient presents with Granulomas - Heart.,"{'entities': [(22, 40, 'SYMPTOM')]}"
Examine the R. Typhi Detected in the patient's right thumb.,"{'entities': [(12, 29, 'SYMPTOM'), (47, 58, 'BODY_PART')]}"
Patient presents with IL2RA (CD25) Bright Expression.,"{'entities': [(22, 52, 'SYMPTOM')]}"
Patient presents with Pseudomembrane.,"{'entities': [(22, 36, 'SYMPTOM')]}"
The Haptoglobin (HP) Test shows normal left knee function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 48, 'BODY_PART')]}"
The Cord Blood Testing and Banking revealed a Clear Cell Renal Cell Carcinoma: Stage III in the left hip.,"{'entities': [(46, 88, 'DIAGNOSIS'), (4, 34, 'TEST_NAME'), (96, 104, 'BODY_PART')]}"
He has been prescribed orphenadrine 225 g.,"{'entities': [(23, 35, 'MEDICATION'), (36, 41, 'DOSAGE')]}"
Vitamin B Test measurements indicate Cubital Tunnel Syndrome.,"{'entities': [(37, 60, 'DIAGNOSIS'), (0, 14, 'TEST_NAME')]}"
The patient was diagnosed with Aortic Rupture last year.,"{'entities': [(31, 45, 'DIAGNOSIS')]}"
Prescribe 360 mL of atorvastatin for pain relief.,"{'entities': [(20, 32, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Examine the Head Injury in the patient's right collarbone.,"{'entities': [(12, 23, 'SYMPTOM'), (41, 57, 'BODY_PART')]}"
The Diabetes Tests revealed a Fistula of the Intestine in the right upper arm.,"{'entities': [(30, 54, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (62, 77, 'BODY_PART')]}"
The Calprotectin Stool Test revealed a Metastatic Colorectal Cancer in the left shoulder.,"{'entities': [(39, 67, 'DIAGNOSIS'), (4, 27, 'TEST_NAME'), (75, 88, 'BODY_PART')]}"
The CCP Antibody Test revealed a Neuromyelitis Optica in the left rib.,"{'entities': [(33, 53, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (61, 69, 'BODY_PART')]}"
He has been prescribed estradiol 455 g.,"{'entities': [(23, 32, 'MEDICATION'), (33, 38, 'DOSAGE')]}"
Prescribe 600 L of clopidogrel for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Patient presents with Elbow Pain.,"{'entities': [(22, 32, 'SYMPTOM')]}"
She mentioned an allergy to Bactrim.,"{'entities': [(28, 35, 'MEDICATION')]}"
The Galactosemia Tests revealed a Postpartum Endometritis in the right hip.,"{'entities': [(34, 57, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (65, 74, 'BODY_PART')]}"
Prescribe 725 L every 28 hours of ezetimibe for pain relief.,"{'entities': [(34, 43, 'MEDICATION'), (10, 30, 'DOSAGE')]}"
Patient presents with Nerve Damage.,"{'entities': [(22, 34, 'SYMPTOM')]}"
BRAF Genetic Test measurements indicate Intraperitoneal Bladder Rupture.,"{'entities': [(40, 71, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
She mentioned an allergy to nabumetone.,"{'entities': [(28, 38, 'MEDICATION')]}"
Prescribe 355 L of tolterodine for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
She mentioned an allergy to ropinirole.,"{'entities': [(28, 38, 'MEDICATION')]}"
Prescribe 795 L of rosuvastatin for pain relief.,"{'entities': [(19, 31, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Platelet Tests revealed a Shingles in the right tricep.,"{'entities': [(30, 38, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (46, 58, 'BODY_PART')]}"
She mentioned an allergy to codeine.,"{'entities': [(28, 35, 'MEDICATION')]}"
She mentioned an allergy to Restasis.,"{'entities': [(28, 36, 'MEDICATION')]}"
Patient presents with Rash On Arm.,"{'entities': [(22, 33, 'SYMPTOM')]}"
Partial Thromboplastin Time (PTT) Test measurements indicate Signet Ring Cell Colorectal Carcinoma.,"{'entities': [(61, 98, 'DIAGNOSIS'), (0, 38, 'TEST_NAME')]}"
Examine the Sclerotic Liver Tissue in the patient's right collarbone.,"{'entities': [(12, 34, 'SYMPTOM'), (52, 68, 'BODY_PART')]}"
Examine the Overexpression of PDGFR in the patient's left temple.,"{'entities': [(12, 35, 'SYMPTOM'), (53, 64, 'BODY_PART')]}"
Appendicitis Tests measurements indicate Foreign Object In Nose.,"{'entities': [(41, 63, 'DIAGNOSIS'), (0, 18, 'TEST_NAME')]}"
Patient presents with Hairy Cell Leukaemia (HCL) Detected.,"{'entities': [(22, 57, 'SYMPTOM')]}"
The Cerebrospinal Fluid (CSF) Analysis revealed a Copperhead Snake Bite in the pancreas.,"{'entities': [(50, 71, 'DIAGNOSIS'), (4, 38, 'TEST_NAME'), (79, 87, 'BODY_PART')]}"
He has been prescribed salicylic acid 880 mg.,"{'entities': [(23, 37, 'MEDICATION'), (38, 44, 'DOSAGE')]}"
She mentioned an allergy to Xarelto.,"{'entities': [(28, 35, 'MEDICATION')]}"
The Mononucleosis (Mono) Tests revealed a Acute Renal Failure in the left rib.,"{'entities': [(42, 61, 'DIAGNOSIS'), (4, 30, 'TEST_NAME'), (69, 77, 'BODY_PART')]}"
He has been prescribed Xanax 140 L.,"{'entities': [(23, 28, 'MEDICATION'), (29, 34, 'DOSAGE')]}"
The Legionella Tests shows normal right breast function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 46, 'BODY_PART')]}"
STD Tests measurements indicate Sinusitis.,"{'entities': [(32, 41, 'DIAGNOSIS'), (0, 9, 'TEST_NAME')]}"
The Fungal Culture Test shows normal left hand function.,"{'entities': [(4, 23, 'TEST_NAME'), (37, 46, 'BODY_PART')]}"
She mentioned an allergy to valsartan.,"{'entities': [(28, 37, 'MEDICATION')]}"
The Ketones in Blood shows normal right wrist function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 45, 'BODY_PART')]}"
She mentioned an allergy to imiquimod.,"{'entities': [(28, 37, 'MEDICATION')]}"
She mentioned an allergy to AndroGel.,"{'entities': [(28, 36, 'MEDICATION')]}"
She mentioned an allergy to lisinopril.,"{'entities': [(28, 38, 'MEDICATION')]}"
The C-Peptide Test revealed a Spleen Contusion in the left hand.,"{'entities': [(30, 46, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (54, 63, 'BODY_PART')]}"
The Complement Blood Test shows normal right sole function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 49, 'BODY_PART')]}"
Prescribe 210 mL of potassium chloride for pain relief.,"{'entities': [(20, 38, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Patient presents with Fractured Ribs.,"{'entities': [(22, 36, 'SYMPTOM')]}"
Lactate Dehydrogenase (LDH) Isoenzymes Test measurements indicate Irritable Bowel Syndrome.,"{'entities': [(66, 90, 'DIAGNOSIS'), (0, 43, 'TEST_NAME')]}"
She mentioned an allergy to hydroxychloroquine.,"{'entities': [(28, 46, 'MEDICATION')]}"
She mentioned an allergy to silodosin.,"{'entities': [(28, 37, 'MEDICATION')]}"
Patient presents with Hunger.,"{'entities': [(22, 28, 'SYMPTOM')]}"
He has been prescribed birth control 360 g.,"{'entities': [(23, 36, 'MEDICATION'), (37, 42, 'DOSAGE')]}"
Examine the Septic Shock in the patient's right calf.,"{'entities': [(12, 24, 'SYMPTOM'), (42, 52, 'BODY_PART')]}"
Mental Health Screening measurements indicate Abdominal Stab Wound.,"{'entities': [(46, 66, 'DIAGNOSIS'), (0, 23, 'TEST_NAME')]}"
She mentioned an allergy to Omnicef.,"{'entities': [(28, 35, 'MEDICATION')]}"
Examine the Oesophagus Infection in the patient's right temple.,"{'entities': [(12, 32, 'SYMPTOM'), (50, 62, 'BODY_PART')]}"
The Skin Biopsy shows normal heart function.,"{'entities': [(4, 15, 'TEST_NAME'), (29, 34, 'BODY_PART')]}"
Patient presents with Tenderness.,"{'entities': [(22, 32, 'SYMPTOM')]}"
He has been prescribed Yuvafem 75 mL.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
She mentioned an allergy to vaginal cream.,"{'entities': [(28, 41, 'MEDICATION')]}"
Prescribe 825 g of olopatadine for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Urobilinogen in Urine measurements indicate Chronic Kidney Disease.,"{'entities': [(44, 66, 'DIAGNOSIS'), (0, 21, 'TEST_NAME')]}"
Patient presents with Nail Thickening.,"{'entities': [(22, 37, 'SYMPTOM')]}"
The patient was diagnosed with Clear Cell Renal Cell Carcinoma: Stage I last year.,"{'entities': [(31, 71, 'DIAGNOSIS')]}"
Patient presents with Cyanosis.,"{'entities': [(22, 30, 'SYMPTOM')]}"
The patient was diagnosed with Cat-Scratch Disease last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
He has been prescribed Zovirax 440 L.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
The Colorectal Cancer Screening Tests shows normal left nipple function.,"{'entities': [(4, 37, 'TEST_NAME'), (51, 62, 'BODY_PART')]}"
He has been prescribed Enteric 345 L.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
Examine the Dyspnea in the patient's stomach.,"{'entities': [(12, 19, 'SYMPTOM'), (37, 44, 'BODY_PART')]}"
Prescribe 245 g of olopatadine for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The patient was diagnosed with Mycoplasma Genitalium last year.,"{'entities': [(31, 52, 'DIAGNOSIS')]}"
She mentioned an allergy to paroxetine.,"{'entities': [(28, 38, 'MEDICATION')]}"
He has been prescribed cefuroxime 670 g.,"{'entities': [(23, 33, 'MEDICATION'), (34, 39, 'DOSAGE')]}"
She mentioned an allergy to Adderall.,"{'entities': [(28, 36, 'MEDICATION')]}"
Examine the Hand Penetrated in the patient's right nostril.,"{'entities': [(12, 27, 'SYMPTOM'), (45, 58, 'BODY_PART')]}"
Heavy Metal Blood Test measurements indicate PCOS.,"{'entities': [(45, 49, 'DIAGNOSIS'), (0, 22, 'TEST_NAME')]}"
The Alpha Fetoprotein (AFP) Tumor Marker Test shows normal right cheek function.,"{'entities': [(4, 45, 'TEST_NAME'), (59, 70, 'BODY_PART')]}"
Examine the Neutropenia in the patient's left groin.,"{'entities': [(12, 23, 'SYMPTOM'), (41, 51, 'BODY_PART')]}"
The Protein in Urine shows normal left forearm function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 46, 'BODY_PART')]}"
He has been prescribed baclofen 485 L.,"{'entities': [(23, 31, 'MEDICATION'), (32, 37, 'DOSAGE')]}"
